Strategic.Area,InterZone,SAChangeScore,Indicator
Levenmouth,S02001797,-0.44257036590491383,Attainment
Levenmouth,S02001812,0.251259097864006,Attainment
Levenmouth,S02001813,-0.4024804542062529,Attainment
Levenmouth,S02001814,1.3795887334177659,Attainment
Levenmouth,S02001815,0.09895198583555179,Attainment
Levenmouth,S02001816,-0.9233442757942819,Attainment
Levenmouth,S02001817,1.250800646578262,Attainment
Levenmouth,S02001818,-0.7772027739735072,Attainment
Levenmouth,S02001819,0.7476118569923865,Attainment
Levenmouth,S02001820,0.7099671946794553,Attainment
Levenmouth,S02001821,-1.8925816454884714,Attainment
