"CPP","Year","Indicator","Type","value"
"Angus","2018/19","Healthy Birthweight","Raw",90.2732240437159
"Dundee City","2018/19","Healthy Birthweight","Raw",89.8916967509025
"East Dunbartonshire","2018/19","Healthy Birthweight","Raw",90.9799554565702
"Fife","2018/19","Healthy Birthweight","Raw",90.3206291591047
"Perth and Kinross","2018/19","Healthy Birthweight","Raw",90.5829596412556
"Glasgow City","2018/19","Healthy Birthweight","Raw",90.5996252342286
"North Lanarkshire","2018/19","Healthy Birthweight","Raw",89.4720687538367
"Clackmannanshire","2019/20","Healthy Birthweight","Raw",92.4574209245742
"Dumfries and Galloway","2019/20","Healthy Birthweight","Raw",89.9175068744271
"East Ayrshire","2019/20","Healthy Birthweight","Raw",89.7940913160251
"East Lothian","2019/20","Healthy Birthweight","Raw",89.5671476137625
"East Renfrewshire","2019/20","Healthy Birthweight","Raw",87.9487179487179
"Eilean Siar","2019/20","Healthy Birthweight","Raw",88.2352941176471
"Falkirk","2019/20","Healthy Birthweight","Raw",89.4387001477105
"Highland","2019/20","Healthy Birthweight","Raw",90.4226859283039
"Inverclyde","2019/20","Healthy Birthweight","Raw",91.2106135986733
"Midlothian","2019/20","Healthy Birthweight","Raw",90.0512820512821
"Moray","2019/20","Healthy Birthweight","Raw",91.2938331318017
"North Ayrshire","2019/20","Healthy Birthweight","Raw",89.4545454545455
"Orkney Islands","2019/20","Healthy Birthweight","Raw",88.1656804733728
"Scottish Borders","2019/20","Healthy Birthweight","Raw",89.2682926829268
"Shetland Islands","2019/20","Healthy Birthweight","Raw",85.0267379679144
"South Ayrshire","2019/20","Healthy Birthweight","Raw",90.0954653937948
"South Lanarkshire","2019/20","Healthy Birthweight","Raw",89.9763752953088
"Stirling","2019/20","Healthy Birthweight","Raw",90.2439024390244
"Aberdeen City","2019/20","Healthy Birthweight","Raw",91.9910514541387
"Aberdeenshire","2019/20","Healthy Birthweight","Raw",90.2518656716418
"Argyll and Bute","2019/20","Healthy Birthweight","Raw",89.6013864818024
"Edinburgh, City of","2019/20","Healthy Birthweight","Raw",90.1805869074492
"Renfrewshire","2019/20","Healthy Birthweight","Raw",90.9871244635193
"West Dunbartonshire","2019/20","Healthy Birthweight","Raw",91.5737298636927
"West Lothian","2019/20","Healthy Birthweight","Raw",88.6223862238622
"Angus","2019/20","Healthy Birthweight","Raw",88.5809312638581
"Dundee City","2019/20","Healthy Birthweight","Raw",89.8355754857997
"East Dunbartonshire","2019/20","Healthy Birthweight","Raw",88.6046511627907
"Fife","2019/20","Healthy Birthweight","Raw",89.6797153024911
"Perth and Kinross","2019/20","Healthy Birthweight","Raw",88.8694127957932
"Glasgow City","2019/20","Healthy Birthweight","Raw",90.3905363798412
"North Lanarkshire","2019/20","Healthy Birthweight","Raw",90.4953560371517
"Clackmannanshire","2020/21","Healthy Birthweight","Raw",88
"Dumfries and Galloway","2020/21","Healthy Birthweight","Raw",88.8052681091251
"East Ayrshire","2020/21","Healthy Birthweight","Raw",89.3762183235867
"East Lothian","2020/21","Healthy Birthweight","Raw",87.3997709049255
"East Renfrewshire","2020/21","Healthy Birthweight","Raw",91.588785046729
"Eilean Siar","2020/21","Healthy Birthweight","Raw",91.358024691358
"Falkirk","2020/21","Healthy Birthweight","Raw",88.9447236180904
"Highland","2020/21","Healthy Birthweight","Raw",89.2290249433106
