"value","Year","IZCode","IZName","CPP","Indicator","Type"
4.96133,"2016/17-2018/19","S02001821","Kennoway and Bonnybank","Fife","Attainment","Raw"
5.56835,"2016/17-2018/19","S02001832","Anstruther","Fife","Attainment","Raw"
5.45833,"2016/17-2018/19","S02001831","St Monans and Pittenweem","Fife","Attainment","Raw"
5.20313,"2016/17-2018/19","S02001834","St Andrews South East","Fife","Attainment","Raw"
5.91304,"2016/17-2018/19","S02001833","Crail and Boarhills","Fife","Attainment","Raw"
5.85965,"2016/17-2018/19","S02001828","Cupar East","Fife","Attainment","Raw"
5.52041,"2016/17-2018/19","S02001827","Cupar Central","Fife","Attainment","Raw"
5.78873,"2016/17-2018/19","S02001830","Elie Colinsburgh and Largoward","Fife","Attainment","Raw"
5.79762,"2016/17-2018/19","S02001829","Dairsie Ceres and Dunino","Fife","Attainment","Raw"
4.90654,"2016/17-2018/19","S02001808","Glenrothes Collydean","Fife","Attainment","Raw"
5.79339,"2016/17-2018/19","S02001807","Glenrothes Balgeddie and Town Park","Fife","Attainment","Raw"
5.85567,"2016/17-2018/19","S02001810","Glenrothes Balfarg Pitcairn and Coul","Fife","Attainment","Raw"
5.31818,"2016/17-2018/19","S02001809","Glenrothes Cadham and Pitcoudie","Fife","Attainment","Raw"
5.39535,"2016/17-2018/19","S02001804","Glenrothes Stenton and Finglassie","Fife","Attainment","Raw"
5.02703,"2016/17-2018/19","S02001803","Glenrothes Auchmuty","Fife","Attainment","Raw"
5.35106,"2016/17-2018/19","S02001806","Glenrothes Woodside","Fife","Attainment","Raw"
5.37158,"2016/17-2018/19","S02001805","Glenrothes Pitteuchar","Fife","Attainment","Raw"
4.50943,"2016/17-2018/19","S02001816","Methil East","Fife","Attainment","Raw"
4.52273,"2016/17-2018/19","S02001815","Methil West","Fife","Attainment","Raw"
4.96581,"2016/17-2018/19","S02001818","Leven West","Fife","Attainment","Raw"
5.71186,"2016/17-2018/19","S02001817","Leven East","Fife","Attainment","Raw"
5.67961,"2016/17-2018/19","S02001812","Windygates and Coaltown","Fife","Attainment","Raw"
5.68992,"2016/17-2018/19","S02001811","Markinch and Star","Fife","Attainment","Raw"
4.90957,"2016/17-2018/19","S02001814","Methil Methilhill","Fife","Attainment","Raw"
4.85621,"2016/17-2018/19","S02001813","Buckhaven, Denbeath and Muiredge","Fife","Attainment","Raw"
5.41573,"2016/17-2018/19","S02001855","Drumoyne and Shieldhall","Glasgow City","Attainment","Raw"
5.15686,"2016/17-2018/19","S02001854","Hillington","Glasgow City","Attainment","Raw"
5.21111,"2016/17-2018/19","S02001857","Craigton","Glasgow City","Attainment","Raw"
5.09859,"2016/17-2018/19","S02001856","Govan and Linthouse","Glasgow City","Attainment","Raw"
5.32704,"2016/17-2018/19","S02001851","Cardonald North","Glasgow City","Attainment","Raw"
5.27119,"2016/17-2018/19","S02001850","Cardonald South and East","Glasgow City","Attainment","Raw"
5.13023,"2016/17-2018/19","S02001853","Penilee","Glasgow City","Attainment","Raw"
5.56291,"2016/17-2018/19","S02001852","Cardonald West and Central","Glasgow City","Attainment","Raw"
5.55102,"2016/17-2018/19","S02001863","Pollokshields West","Glasgow City","Attainment","Raw"
5.66197,"2016/17-2018/19","S02001862","Kingston West and Dumbreck","Glasgow City","Attainment","Raw"
5.14689,"2016/17-2018/19","S02001865","Govanhill West","Glasgow City","Attainment","Raw"
5.37762,"2016/17-2018/19","S02001864","Pollokshields East","Glasgow City","Attainment","Raw"
4.92562,"2016/17-2018/19","S02001859","Ibrox","Glasgow City","Attainment","Raw"
5.40764,"2016/17-2018/19","S02001858","Mosspark","Glasgow City","Attainment","Raw"
5.27778,"2016/17-2018/19","S02001861","Kinning Park and Festival Park","Glasgow City","Attainment","Raw"
5.34426,"2016/17-2018/19","S02001860","Ibrox East and Cessnock","Glasgow City","Attainment","Raw"
5.55,"2016/17-2018/19","S02001840","Tayport","Fife","Attainment","Raw"
5.72277,"2016/17-2018/19","S02001839","Balmullo and Gauldry","Fife","Attainment","Raw"
5.6443,"2016/17-2018/19","S02001842","Darnley East","Glasgow City","Attainment","Raw"
6.0873,"2016/17-2018/19","S02001841","Newport and Wormit","Fife","Attainment","Raw"
6.06173,"2016/17-2018/19","S02001836","St Andrews South West","Fife","Attainment","Raw"
4.75,"2016/17-2018/19","S02001835","St Andrews Central","Fife","Attainment","Raw"
5.54545,"2016/17-2018/19","S02001838","Leuchars and Guardbridge","Fife","Attainment","Raw"
6.14493,"2016/17-2018/19","S02001837","St Andrews North and Strathkinness","Fife","Attainment","Raw"
4.94545,"2016/17-2018/19","S02001847","Crookston North","Glasgow City","Attainment","Raw"
5.10692,"2016/17-2018/19","S02001846","Crookston South","Glasgow City","Attainment","Raw"
5.25751,"2016/17-2018/19","S02001849","Pollok North and East","Glasgow City","Attainment","Raw"
5.94273,"2016/17-2018/19","S02001848","Pollok South and West","Glasgow City","Attainment","Raw"
5.86096,"2016/17-2018/19","S02001844","Darnley West","Glasgow City","Attainment","Raw"
5.72903,"2016/17-2018/19","S02001843","Darnley North","Glasgow City","Attainment","Raw"
4.98745,"2016/17-2018/19","S02001845","Nitshill","Glasgow City","Attainment","Raw"
5.05825,"2016/17-2018/19","S02001761","Rosyth Central","Fife","Attainment","Raw"
5.3871,"2016/17-2018/19","S02001760","Rosyth East","Fife","Attainment","Raw"
5.44118,"2016/17-2018/19","S02001763","North Queensferry and Inverkeithing West","Fife","Attainment","Raw"
5.1223,"2016/17-2018/19","S02001762","Rosyth South","Fife","Attainment","Raw"
5.97561,"2016/17-2018/19","S02001757","Dunfermline Pitcorthie East","Fife","Attainment","Raw"
6.05882,"2016/17-2018/19","S02001756","Dunfermline Masterton","Fife","Attainment","Raw"
5.5,"2016/17-2018/19","S02001759","Rosyth North","Fife","Attainment","Raw"
5.93506,"2016/17-2018/19","S02001758","Dunfermline Pitcorthie West","Fife","Attainment","Raw"
5.00885,"2016/17-2018/19","S02001769","Hill of Beath and Kingseat","Fife","Attainment","Raw"
5.63107,"2016/17-2018/19","S02001768","Crossgates and Halbeath","Fife","Attainment","Raw"
5.13514,"2016/17-2018/19","S02001771","Cowdenbeath North","Fife","Attainment","Raw"
4.71053,"2016/17-2018/19","S02001770","Cowdenbeath South","Fife","Attainment","Raw"
6.2126,"2016/17-2018/19","S02001765","Dalgety Bay West and Hillend","Fife","Attainment","Raw"
5.04938,"2016/17-2018/19","S02001764","Inverkeithing East","Fife","Attainment","Raw"
5.77528,"2016/17-2018/19","S02001767","Dalgety Bay East","Fife","Attainment","Raw"
5.93162,"2016/17-2018/19","S02001766","Dalgety Bay Central","Fife","Attainment","Raw"
5.4881,"2016/17-2018/19","S02001745","Dunfermline Baldridgeburn","Fife","Attainment","Raw"
5.78378,"2016/17-2018/19","S02001744","Dunfermline Milesmark and Wellwood","Fife","Attainment","Raw"
5.85714,"2016/17-2018/19","S02001747","Dunfermline Central","Fife","Attainment","Raw"
5.37984,"2016/17-2018/19","S02001746","Dunfermline Headwell","Fife","Attainment","Raw"
5.21569,"2016/17-2018/19","S02001741","Valleyfield Culross and Torryburn","Fife","Attainment","Raw"
5.71264,"2016/17-2018/19","S02001740","Saline and Gowkhall","Fife","Attainment","Raw"
6.10169,"2016/17-2018/19","S02001743","Crossford Charlestown and Limekilns","Fife","Attainment","Raw"
5.75258,"2016/17-2018/19","S02001742","Cairneyhill and Crombie","Fife","Attainment","Raw"
4.70588,"2016/17-2018/19","S02001753","Dunfermline Abbeyview North","Fife","Attainment","Raw"
4.92233,"2016/17-2018/19","S02001752","Dunfermline Touch and Woodmill","Fife","Attainment","Raw"
5.6988,"2016/17-2018/19","S02001755","Dunfermline Duloch South","Fife","Attainment","Raw"
5.01136,"2016/17-2018/19","S02001754","Dunfermline Abbeyview South","Fife","Attainment","Raw"
6.16667,"2016/17-2018/19","S02001749","Dunfermline Garvock Hill","Fife","Attainment","Raw"
5.04587,"2016/17-2018/19","S02001748","Dunfermline Brucefield","Fife","Attainment","Raw"
5.76923,"2016/17-2018/19","S02001751","Dunfermline Duloch North and Lynebank","Fife","Attainment","Raw"
5.76259,"2016/17-2018/19","S02001750","Dunfermline Bellyeoman and Townhill","Fife","Attainment","Raw"
5.68539,"2016/17-2018/19","S02001792","Kirkcaldy Chapel","Fife","Attainment","Raw"
5.67089,"2016/17-2018/19","S02001791","Kirkcaldy Dunnikier","Fife","Attainment","Raw"
5.63077,"2016/17-2018/19","S02001794","Kirkcaldy Pathhead","Fife","Attainment","Raw"
4.85526,"2016/17-2018/19","S02001793","Kirkcaldy Hayfield and Smeaton","Fife","Attainment","Raw"
5.25275,"2016/17-2018/19","S02001788","Kirkcaldy Newliston and Redcraigs","Fife","Attainment","Raw"
5.95455,"2016/17-2018/19","S02001787","Kirkcaldy Raith","Fife","Attainment","Raw"
4.92857,"2016/17-2018/19","S02001790","Kirkcaldy Templehall East","Fife","Attainment","Raw"
5.18889,"2016/17-2018/19","S02001789","Kirkcaldy Templehall West","Fife","Attainment","Raw"
4.95092,"2016/17-2018/19","S02001800","Glenrothes Macedonia and Tanshall","Fife","Attainment","Raw"
5.40476,"2016/17-2018/19","S02001799","Leslie and Newcastle","Fife","Attainment","Raw"
5.24516,"2016/17-2018/19","S02001802","Glenrothes Caskieberran and Rimbleton","Fife","Attainment","Raw"
5.66667,"2016/17-2018/19","S02001801","Glenrothes South Parks","Fife","Attainment","Raw"
5.43617,"2016/17-2018/19","S02001796","Dysart","Fife","Attainment","Raw"
4.9703,"2016/17-2018/19","S02001795","Kirkcaldy Gallatown and Sinclairtown","Fife","Attainment","Raw"
5.13115,"2016/17-2018/19","S02001798","Thornton and Kinglassie","Fife","Attainment","Raw"
5.3871,"2016/17-2018/19","S02001797","Wemyss","Fife","Attainment","Raw"
5.41667,"2016/17-2018/19","S02001777","Lochgelly East","Fife","Attainment","Raw"
5.30415,"2016/17-2018/19","S02001776","Cardenden","Fife","Attainment","Raw"
6.05682,"2016/17-2018/19","S02001779","Aberdour and Auchtertool","Fife","Attainment","Raw"
4.80435,"2016/17-2018/19","S02001778","Lochgelly West and Lumphinnans","Fife","Attainment","Raw"
5,"2016/17-2018/19","S02001773","Kelty East","Fife","Attainment","Raw"
5.01739,"2016/17-2018/19","S02001772","Kelty West","Fife","Attainment","Raw"
4.97479,"2016/17-2018/19","S02001775","Ballingry","Fife","Attainment","Raw"
5.02632,"2016/17-2018/19","S02001774","Lochore and Crosshill","Fife","Attainment","Raw"
5.78261,"2016/17-2018/19","S02001784","Kirkcaldy Central","Fife","Attainment","Raw"
5.3125,"2016/17-2018/19","S02001783","Kirkcaldy Linktown & Seafield","Fife","Attainment","Raw"
5.48276,"2016/17-2018/19","S02001786","Kirkcaldy Bennochy West","Fife","Attainment","Raw"
5.8,"2016/17-2018/19","S02001785","Kirkcaldy Bennochy East","Fife","Attainment","Raw"
5.51563,"2016/17-2018/19","S02001781","Burntisland East","Fife","Attainment","Raw"
5.66116,"2016/17-2018/19","S02001780","Burntisland West","Fife","Attainment","Raw"
5.57143,"2016/17-2018/19","S02001782","Kinghorn","Fife","Attainment","Raw"
4.5875,"2016/17-2018/19","S02001949","Wyndford","Glasgow City","Attainment","Raw"
5.42857,"2016/17-2018/19","S02001948","Maryhill West","Glasgow City","Attainment","Raw"
6.11111,"2016/17-2018/19","S02001951","North Kelvin","Glasgow City","Attainment","Raw"
5.94624,"2016/17-2018/19","S02001950","Kelvindale","Glasgow City","Attainment","Raw"
5.59477,"2016/17-2018/19","S02001945","Summerston Central and West","Glasgow City","Attainment","Raw"
5.43269,"2016/17-2018/19","S02001944","Milton East","Glasgow City","Attainment","Raw"
5.10976,"2016/17-2018/19","S02001947","Maryhill East","Glasgow City","Attainment","Raw"
5.6746,"2016/17-2018/19","S02001946","Summerston North","Glasgow City","Attainment","Raw"
6.03846,"2016/17-2018/19","S02001957","Dowanhill","Glasgow City","Attainment","Raw"
6.26087,"2016/17-2018/19","S02001956","Partickhill and Hyndland","Glasgow City","Attainment","Raw"
5.91111,"2016/17-2018/19","S02001959","Broomhill","Glasgow City","Attainment","Raw"
6.43396,"2016/17-2018/19","S02001958","Kelvinside and Jordanhill","Glasgow City","Attainment","Raw"
5.31111,"2016/17-2018/19","S02001953","Hillhead","Glasgow City","Attainment","Raw"
5.86792,"2016/17-2018/19","S02001952","Kelvingrove and University","Glasgow City","Attainment","Raw"
5.41509,"2016/17-2018/19","S02001955","Partick","Glasgow City","Attainment","Raw"
5.38776,"2016/17-2018/19","S02001954","Glasgow Harbour and Partick South","Glasgow City","Attainment","Raw"
4.5625,"2016/17-2018/19","S02001933","City Centre West","Glasgow City","Attainment","Raw"
5.62069,"2016/17-2018/19","S02001932","City Centre East","Glasgow City","Attainment","Raw"
5.28814,"2016/17-2018/19","S02001935","Anderston","Glasgow City","Attainment","Raw"
4.8,"2016/17-2018/19","S02001934","City Centre South","Glasgow City","Attainment","Raw"
5.13793,"2016/17-2018/19","S02001929","Carntyne West and Haghill","Glasgow City","Attainment","Raw"
5.2766,"2016/17-2018/19","S02001928","Alexandra Parade","Glasgow City","Attainment","Raw"
5.34884,"2016/17-2018/19","S02001931","Gallowgate North and Bellgrove","Glasgow City","Attainment","Raw"
5.65789,"2016/17-2018/19","S02001930","Dennistoun","Glasgow City","Attainment","Raw"
5.31897,"2016/17-2018/19","S02001941","Ruchill","Glasgow City","Attainment","Raw"
5.1157,"2016/17-2018/19","S02001940","Keppochhill","Glasgow City","Attainment","Raw"
5.08974,"2016/17-2018/19","S02001943","Milton West","Glasgow City","Attainment","Raw"
5.25786,"2016/17-2018/19","S02001942","Possil Park","Glasgow City","Attainment","Raw"
5.80769,"2016/17-2018/19","S02001937","Woodlands","Glasgow City","Attainment","Raw"
5.70588,"2016/17-2018/19","S02001936","Finnieston and Kelvinhaugh","Glasgow City","Attainment","Raw"
5.42105,"2016/17-2018/19","S02001939","Firhill","Glasgow City","Attainment","Raw"
5.30357,"2016/17-2018/19","S02001938","Woodside","Glasgow City","Attainment","Raw"
5.26923,"2016/17-2018/19","S02001980","Fort William South","Highland","Attainment","Raw"
5.35465,"2016/17-2018/19","S02001979","Fort William North","Highland","Attainment","Raw"
5.66387,"2016/17-2018/19","S02001982","Badenoch and Strathspey South","Highland","Attainment","Raw"
5.67442,"2016/17-2018/19","S02001981","Lochaber East and North","Highland","Attainment","Raw"
5.07895,"2016/17-2018/19","S02001976","Drumry East","Glasgow City","Attainment","Raw"
5.09155,"2016/17-2018/19","S02001975","Drumchapel North","Glasgow City","Attainment","Raw"
6.04762,"2016/17-2018/19","S02001978","Lochaber West","Highland","Attainment","Raw"
5.31847,"2016/17-2018/19","S02001977","Drumry West","Glasgow City","Attainment","Raw"
5.57803,"2016/17-2018/19","S02001988","Inverness East Rural","Highland","Attainment","Raw"
5.80556,"2016/17-2018/19","S02001987","Nairn West","Highland","Attainment","Raw"
5.43478,"2016/17-2018/19","S02001990","Inverness Smithton","Highland","Attainment","Raw"
5.58865,"2016/17-2018/19","S02001989","Inverness Culloden and Balloch","Highland","Attainment","Raw"
5.80645,"2016/17-2018/19","S02001984","Badenoch and Strathspey North","Highland","Attainment","Raw"
5.80672,"2016/17-2018/19","S02001983","Badenoch and Strathspey Central","Highland","Attainment","Raw"
5.36667,"2016/17-2018/19","S02001986","Nairn East","Highland","Attainment","Raw"
5.67857,"2016/17-2018/19","S02001985","Nairn Rural","Highland","Attainment","Raw"
5.4,"2016/17-2018/19","S02001965","Yoker North","Glasgow City","Attainment","Raw"
5.15909,"2016/17-2018/19","S02001964","Yoker South","Glasgow City","Attainment","Raw"
5.44086,"2016/17-2018/19","S02001967","Knightswood East","Glasgow City","Attainment","Raw"
5.44944,"2016/17-2018/19","S02001966","Knightswood West","Glasgow City","Attainment","Raw"
5.17568,"2016/17-2018/19","S02001961","Whiteinch","Glasgow City","Attainment","Raw"
6.44828,"2016/17-2018/19","S02001960","Victoria Park","Glasgow City","Attainment","Raw"
5.20755,"2016/17-2018/19","S02001963","Scotstoun South and West","Glasgow City","Attainment","Raw"
5.77165,"2016/17-2018/19","S02001962","Scotstoun North and East","Glasgow City","Attainment","Raw"
5.12821,"2016/17-2018/19","S02001972","Blairdardie East","Glasgow City","Attainment","Raw"
5.18116,"2016/17-2018/19","S02001971","Anniesland West","Glasgow City","Attainment","Raw"
4.82192,"2016/17-2018/19","S02001974","Drumchapel South","Glasgow City","Attainment","Raw"
5.55208,"2016/17-2018/19","S02001973","Blairdardie West","Glasgow City","Attainment","Raw"
5.39063,"2016/17-2018/19","S02001969","Knightswood Park East","Glasgow City","Attainment","Raw"
5.54839,"2016/17-2018/19","S02001968","Knightswood Park West","Glasgow City","Attainment","Raw"
5.9863,"2016/17-2018/19","S02001970","Anniesland East","Glasgow City","Attainment","Raw"
5.84884,"2016/17-2018/19","S02001886","Cathcart","Glasgow City","Attainment","Raw"
5.85,"2016/17-2018/19","S02001885","Kingspark North","Glasgow City","Attainment","Raw"
5.22099,"2016/17-2018/19","S02001888","Toryglen and Oatlands","Glasgow City","Attainment","Raw"
5.71579,"2016/17-2018/19","S02001887","Mount Florida","Glasgow City","Attainment","Raw"
5.04813,"2016/17-2018/19","S02001882","Glenwood North","Glasgow City","Attainment","Raw"
5.06471,"2016/17-2018/19","S02001881","Glenwood South","Glasgow City","Attainment","Raw"
5.67176,"2016/17-2018/19","S02001884","Kingspark South","Glasgow City","Attainment","Raw"
5.5625,"2016/17-2018/19","S02001883","Castlemilk","Glasgow City","Attainment","Raw"
4.84979,"2016/17-2018/19","S02001894","Parkhead West and Barrowfield","Glasgow City","Attainment","Raw"
5.08333,"2016/17-2018/19","S02001893","Dalmarnock","Glasgow City","Attainment","Raw"
5.2931,"2016/17-2018/19","S02001896","Braidfauld","Glasgow City","Attainment","Raw"
5.12329,"2016/17-2018/19","S02001895","Parkhead East and Braidfauld North","Glasgow City","Attainment","Raw"
5.2381,"2016/17-2018/19","S02001890","Laurieston and Tradeston","Glasgow City","Attainment","Raw"
5.21818,"2016/17-2018/19","S02001889","Gorbals and Hutchesontown","Glasgow City","Attainment","Raw"
4.52632,"2016/17-2018/19","S02001892","Bridgeton","Glasgow City","Attainment","Raw"
5.35,"2016/17-2018/19","S02001891","Calton and Gallowgate","Glasgow City","Attainment","Raw"
5.72973,"2016/17-2018/19","S02001871","Shawlands East","Glasgow City","Attainment","Raw"
5.34146,"2016/17-2018/19","S02001870","Shawlands West","Glasgow City","Attainment","Raw"
5.5375,"2016/17-2018/19","S02001873","Pollokshaws","Glasgow City","Attainment","Raw"
5.80702,"2016/17-2018/19","S02001872","Langside","Glasgow City","Attainment","Raw"
6.04255,"2016/17-2018/19","S02001867","Battlefield","Glasgow City","Attainment","Raw"
5.49107,"2016/17-2018/19","S02001866","Govanhill East and Aikenhead","Glasgow City","Attainment","Raw"
5.85897,"2016/17-2018/19","S02001869","Maxwell Park","Glasgow City","Attainment","Raw"
5.26263,"2016/17-2018/19","S02001868","Strathbungo","Glasgow City","Attainment","Raw"
6.11429,"2016/17-2018/19","S02001878","Muirend and Old Cathcart","Glasgow City","Attainment","Raw"
5.84706,"2016/17-2018/19","S02001877","Merrylee and Millbrae","Glasgow City","Attainment","Raw"
5.40404,"2016/17-2018/19","S02001880","Carmunnock South","Glasgow City","Attainment","Raw"
6.26506,"2016/17-2018/19","S02001879","Carmunnock North","Glasgow City","Attainment","Raw"
5.57547,"2016/17-2018/19","S02001875","Carnwadric East","Glasgow City","Attainment","Raw"
5.21935,"2016/17-2018/19","S02001874","Carnwadric West","Glasgow City","Attainment","Raw"
5.77551,"2016/17-2018/19","S02001876","Newlands","Glasgow City","Attainment","Raw"
5.17266,"2016/17-2018/19","S02001917","Blackhill and Barmulloch East","Glasgow City","Attainment","Raw"
4.87037,"2016/17-2018/19","S02001916","Riddrie and Hogganfield","Glasgow City","Attainment","Raw"
5.11724,"2016/17-2018/19","S02001919","Balornock","Glasgow City","Attainment","Raw"
6.05759,"2016/17-2018/19","S02001918","Robroyston and Millerston","Glasgow City","Attainment","Raw"
5.24,"2016/17-2018/19","S02001913","Carntyne","Glasgow City","Attainment","Raw"
4.92701,"2016/17-2018/19","S02001912","Old Shettleston and Parkhead North","Glasgow City","Attainment","Raw"
4.91429,"2016/17-2018/19","S02001915","Craigend and Ruchazie","Glasgow City","Attainment","Raw"
5.1,"2016/17-2018/19","S02001914","Cranhill, Lightburn and Queenslie South","Glasgow City","Attainment","Raw"
4.83333,"2016/17-2018/19","S02001925","Sighthill","Glasgow City","Attainment","Raw"
5.06452,"2016/17-2018/19","S02001924","Cowlairs and Port Dundas","Glasgow City","Attainment","Raw"
5.55102,"2016/17-2018/19","S02001927","Dennistoun North","Glasgow City","Attainment","Raw"
5.135,"2016/17-2018/19","S02001926","Roystonhill, Blochairn, and Provanmill","Glasgow City","Attainment","Raw"
5.46591,"2016/17-2018/19","S02001921","Petershill","Glasgow City","Attainment","Raw"
5.07071,"2016/17-2018/19","S02001920","Barmulloch","Glasgow City","Attainment","Raw"
5.45455,"2016/17-2018/19","S02001923","Springburn East and Cowlairs","Glasgow City","Attainment","Raw"
5.16327,"2016/17-2018/19","S02001922","Springburn","Glasgow City","Attainment","Raw"
5.936,"2016/17-2018/19","S02001902","Garrowhill West","Glasgow City","Attainment","Raw"
5.61579,"2016/17-2018/19","S02001901","Baillieston East","Glasgow City","Attainment","Raw"
5.34066,"2016/17-2018/19","S02001904","Easterhouse East","Glasgow City","Attainment","Raw"
5.73964,"2016/17-2018/19","S02001903","Garrowhill East and Swinton","Glasgow City","Attainment","Raw"
5.30667,"2016/17-2018/19","S02001898","Carmyle and Mount Vernon South","Glasgow City","Attainment","Raw"
5.65116,"2016/17-2018/19","S02001897","Shettleston South","Glasgow City","Attainment","Raw"
5.38333,"2016/17-2018/19","S02001900","Baillieston West","Glasgow City","Attainment","Raw"
6.03061,"2016/17-2018/19","S02001899","Mount Vernon North and Sandyhills","Glasgow City","Attainment","Raw"
5.4,"2016/17-2018/19","S02001909","Greenfield","Glasgow City","Attainment","Raw"
5.22222,"2016/17-2018/19","S02001908","Barlanark","Glasgow City","Attainment","Raw"
5.27174,"2016/17-2018/19","S02001911","Tollcross","Glasgow City","Attainment","Raw"
5.4557,"2016/17-2018/19","S02001910","Shettleston North","Glasgow City","Attainment","Raw"
5.19333,"2016/17-2018/19","S02001906","Garthamlock, Auchinlea and Gartloch","Glasgow City","Attainment","Raw"
4.97849,"2016/17-2018/19","S02001905","Central Easterhouse","Glasgow City","Attainment","Raw"
4.73154,"2016/17-2018/19","S02001907","North Barlanark and Easterhouse South","Glasgow City","Attainment","Raw"
5.47273,"2017/18-2019/20","S02002512","Uphall, Dechmont and Ecclesmachan","West Lothian","Attainment","Raw"
5.72662,"2017/18-2019/20","S02002511","Broxburn Kirkhill","West Lothian","Attainment","Raw"
5.35632,"2017/18-2019/20","S02002514","Broxburn East","West Lothian","Attainment","Raw"
5.74797,"2017/18-2019/20","S02002513","Broxburn South","West Lothian","Attainment","Raw"
5.50802,"2017/18-2019/20","S02002500","Armadale","West Lothian","Attainment","Raw"
5.63303,"2017/18-2019/20","S02002499","Whitburn, Croftmalloch and Greenrigg","West Lothian","Attainment","Raw"
5.54595,"2017/18-2019/20","S02002502","Bathgate, Wester Inch and Inchcross","West Lothian","Attainment","Raw"
5.39024,"2017/18-2019/20","S02002501","Armadale South","West Lothian","Attainment","Raw"
5.1747,"2017/18-2019/20","S02002496","Blackburn","West Lothian","Attainment","Raw"
5.47674,"2017/18-2019/20","S02002495","Seafield","West Lothian","Attainment","Raw"
5.30882,"2017/18-2019/20","S02002498","Whitburn Central","West Lothian","Attainment","Raw"
5.55191,"2017/18-2019/20","S02002497","Blaeberry Hill and East Whitburn","West Lothian","Attainment","Raw"
6.07237,"2017/18-2019/20","S02002508","Linlithgow Bridge","West Lothian","Attainment","Raw"
6.19828,"2017/18-2019/20","S02002507","Linlithgow South","West Lothian","Attainment","Raw"
5.46795,"2017/18-2019/20","S02002510","Winchburgh, Bridgend and Philpstoun","West Lothian","Attainment","Raw"
6.22124,"2017/18-2019/20","S02002509","Linlithgow North","West Lothian","Attainment","Raw"
5.47826,"2017/18-2019/20","S02002504","Bathgate East","West Lothian","Attainment","Raw"
5.2377,"2017/18-2019/20","S02002503","Bathgate and Boghall","West Lothian","Attainment","Raw"
5.36522,"2017/18-2019/20","S02002506","Blackridge, Westfield and Torphichen","West Lothian","Attainment","Raw"
5.74138,"2017/18-2019/20","S02002505","Bathgate West","West Lothian","Attainment","Raw"
5.58025,"2017/18-2019/20","S02002327","North Mainland","Shetland Islands","Attainment","Raw"
5.7619,"2017/18-2019/20","S02002326","East and West Mainland","Shetland Islands","Attainment","Raw"
5.54839,"2017/18-2019/20","S02002329","Carrick South","South Ayrshire","Attainment","Raw"
5.92941,"2017/18-2019/20","S02002328","North and East Isles","Shetland Islands","Attainment","Raw"
5.69531,"2017/18-2019/20","S02002323","Lerwick South","Shetland Islands","Attainment","Raw"
5.76,"2017/18-2019/20","S02002322","Shetland South","Shetland Islands","Attainment","Raw"
5.61224,"2017/18-2019/20","S02002325","Central Shetland","Shetland Islands","Attainment","Raw"
5.57851,"2017/18-2019/20","S02002324","Lerwick North","Shetland Islands","Attainment","Raw"
6.25444,"2017/18-2019/20","S02002335","Alloway and Doonfoot","South Ayrshire","Attainment","Raw"
5.57522,"2017/18-2019/20","S02002334","Coylton","South Ayrshire","Attainment","Raw"
5.77987,"2017/18-2019/20","S02002337","Belmont","South Ayrshire","Attainment","Raw"
5.61111,"2017/18-2019/20","S02002336","Castlehill and Kincaidston","South Ayrshire","Attainment","Raw"
5.63529,"2017/18-2019/20","S02002331","Girvan Ailsa","South Ayrshire","Attainment","Raw"
5.392,"2017/18-2019/20","S02002330","Girvan Glendoune","South Ayrshire","Attainment","Raw"
5.98425,"2017/18-2019/20","S02002333","Carrick North","South Ayrshire","Attainment","Raw"
5.59627,"2017/18-2019/20","S02002332","Maybole","South Ayrshire","Attainment","Raw"
5.20339,"2017/18-2019/20","S02002311","Kelso South","Scottish Borders","Attainment","Raw"
5.35714,"2017/18-2019/20","S02002310","Kelso North","Scottish Borders","Attainment","Raw"
5.8,"2017/18-2019/20","S02002313","St Boswells and Newtown Area","Scottish Borders","Attainment","Raw"
5.82051,"2017/18-2019/20","S02002312","Cheviot West","Scottish Borders","Attainment","Raw"
5.88073,"2017/18-2019/20","S02002307","Chirnside and Area","Scottish Borders","Attainment","Raw"
5.18182,"2017/18-2019/20","S02002306","Eyemouth","Scottish Borders","Attainment","Raw"
5.51818,"2017/18-2019/20","S02002309","Cheviot East","Scottish Borders","Attainment","Raw"
5.66667,"2017/18-2019/20","S02002308","Coldstream and Area","Scottish Borders","Attainment","Raw"
5.42857,"2017/18-2019/20","S02002319","Hawick North","Scottish Borders","Attainment","Raw"
5.48958,"2017/18-2019/20","S02002318","Hawick West End","Scottish Borders","Attainment","Raw"
5.44516,"2017/18-2019/20","S02002321","Selkirk","Scottish Borders","Attainment","Raw"
5.8,"2017/18-2019/20","S02002320","Ettrick Yarrow and Liliesleaf Area","Scottish Borders","Attainment","Raw"
5.78182,"2017/18-2019/20","S02002315","Denholm and Hermitage","Scottish Borders","Attainment","Raw"
5.26667,"2017/18-2019/20","S02002314","Jedburgh","Scottish Borders","Attainment","Raw"
5.1954,"2017/18-2019/20","S02002317","Hawick Central","Scottish Borders","Attainment","Raw"
4.51938,"2017/18-2019/20","S02002316","Burnfoot","Scottish Borders","Attainment","Raw"
5.60714,"2017/18-2019/20","S02002358","Law","South Lanarkshire","Attainment","Raw"
5.33058,"2017/18-2019/20","S02002357","Forth, Braehead and Auchengray","South Lanarkshire","Attainment","Raw"
5.13333,"2017/18-2019/20","S02002360","Carluke North","South Lanarkshire","Attainment","Raw"
